doctor_id,doctor_name,department_id,branch_id,employment_type
133,Gaurav Bansal,2,1,Visiting
134,Sanaya Naik,1,4,Full-time
135,Charita Sarraf,2,4,Visiting
136,Aradhana Aggarwal,3,2,Full-time
137,Janani Sachar,1,2,Visiting
138,Balvan Chauhan,3,3,Full-time
139,Eesha Natt,3,3,Visiting
140,Kabir Chana,6,5,Visiting
141,Sara Banerjee,1,1,Visiting
142,Rushil Choudhary,2,5,Visiting
143,Faqid Sidhu,1,1,Visiting
144,Upadhriti Varkey,3,3,Visiting
145,Krish Murty,5,5,Full-time
146,Girish Munshi,4,5,Full-time
147,Rajata Walia,3,1,Visiting
148,Vidhi Dora,1,5,Full-time
149,Divya Rao,3,4,Full-time
150,Tara Sharaf,6,3,Visiting
151,Jackson Doshi,6,1,Visiting
152,Anamika Malhotra,5,3,Visiting
153,Viraj Pai,3,4,Visiting
154,Kavya Kar,5,2,Full-time
155,Lakshit Chaudhari,4,4,Full-time
156,Avi Varma,5,5,Visiting
157,Zilmil Agarwal,4,5,Full-time
158,Ishaan Agate,3,3,Full-time
159,Chanakya Salvi,4,5,Visiting
160,Lavanya Bhargava,4,4,Visiting
161,Devansh Muni,6,2,Visiting
162,Samaksh Bansal,6,2,Full-time
163,Rudra Mander,3,5,Visiting
164,Elijah Vig,1,2,Visiting
165,Chameli Khanna,2,2,Full-time
166,Abha Sarraf,1,1,Full-time
167,Tejas Mahajan,4,5,Full-time
168,Vedika Natarajan,4,4,Full-time
169,Geetika Sura,6,4,Visiting
170,Vinaya Anand,4,2,Full-time
171,Chaaya Dutt,6,1,Full-time
172,Qasim Dyal,4,2,Full-time
173,Ekavir Boase,6,5,Visiting
174,Gauri Korpal,1,5,Full-time
175,Adya Swaminathan,1,4,Full-time
176,Edhitha Taneja,4,5,Visiting
177,Thomas Chakraborty,4,5,Visiting
178,Parth Talwar,5,4,Full-time
179,Megha Lad,6,4,Visiting
180,Jai Rajan,3,2,Visiting
181,Samar Natarajan,5,4,Full-time
182,Warinder Sarraf,3,4,Full-time
183,Arjun Sandal,6,3,Full-time
184,Geetika Mishra,3,3,Visiting
185,Vasana Shetty,5,1,Full-time
186,Samarth Bajwa,2,2,Visiting
187,Laksh Boase,6,2,Full-time
188,Gopal Dada,1,4,Visiting
189,Ishita Mandal,3,5,Visiting
190,Jonathan Varty,4,1,Full-time
191,Nitesh Rama,4,4,Full-time
192,Chandran Bir,5,4,Visiting
193,Amrita Dewan,1,3,Visiting
194,Varenya Basak,4,4,Full-time
195,Max Parmar,4,2,Visiting
196,Fitan Nori,4,4,Full-time
197,Panini Pathak,4,3,Visiting
198,Harita Sachar,6,2,Visiting
199,Bhanumati Bali,2,5,Full-time
200,Irya Vyas,4,5,Full-time
201,Shivani Sarin,1,4,Full-time
202,Ganga Patil,4,2,Full-time
203,Arya Sachdev,3,4,Visiting
204,Noah Kata,2,4,Visiting
205,Ubika Radhakrishnan,3,4,Visiting
206,Tripti Patel,4,3,Full-time
207,Bhanumati Setty,4,1,Full-time
208,Guneet Chacko,3,2,Full-time
209,Anya Tara,6,1,Full-time
210,Ishaan Chaudry,2,2,Full-time
211,Janya Khosla,5,2,Full-time
212,Dalbir Sridhar,2,4,Full-time
213,Sara Sehgal,5,2,Visiting
214,Pallavi Ray,6,3,Visiting
215,Aarush Goda,2,5,Full-time
216,Kashish Dalal,2,3,Full-time
217,Tanvi Buch,5,1,Visiting
218,Tamanna Murty,5,4,Visiting
219,Nilima Dar,6,2,Full-time
220,Saumya Rama,5,2,Full-time
221,Ayush Mand,6,3,Full-time
222,Sanaya D’Alia,5,1,Visiting
223,Tejas Bansal,5,4,Visiting
224,Utkarsh Mangat,1,5,Visiting
225,David Talwar,1,4,Visiting
226,Yachana Narula,1,4,Visiting
227,Tanish Narang,6,4,Full-time
228,Ekaraj Kaur,4,2,Visiting
229,Unni Dey,5,5,Visiting
230,Warjas Solanki,4,4,Visiting
231,Imaran Issac,3,2,Full-time
232,Dipta Lalla,3,4,Full-time
233,Qasim Raman,4,5,Visiting
234,Priya Dar,3,1,Visiting
235,Gunbir Divan,3,2,Visiting
236,Naveen Vasa,2,3,Visiting
237,Ekaraj Dar,3,3,Visiting
238,Jhalak Pall,5,1,Full-time
239,Indali Chanda,1,2,Visiting
240,Brijesh Tiwari,4,5,Full-time
241,Avni Char,6,4,Visiting
242,Ridhi Vyas,4,1,Full-time
243,Widisha Wason,3,2,Visiting
244,Wakeeta Brahmbhatt,6,2,Visiting
245,Pushti Prasad,6,5,Visiting
246,David Arya,4,5,Visiting
247,Yahvi Kala,4,5,Visiting
248,Lucky Thakur,3,4,Visiting
249,Sachi Saxena,3,3,Full-time
250,Rudra Tailor,1,2,Visiting
251,Azad Apte,1,5,Full-time
252,Dipta Tripathi,2,2,Visiting
253,Tara Dixit,3,5,Visiting
254,Vinaya Kohli,1,2,Visiting
255,Charles Tata,2,3,Full-time
256,Vansha Ganesan,3,1,Full-time
257,Yashasvi Tailor,3,1,Full-time
258,Inaya Singh,5,3,Full-time
259,Abdul Maharaj,6,4,Full-time
260,Jonathan Agate,1,5,Visiting
261,Darsh Lalla,4,4,Visiting
262,Daniel Rajagopalan,3,2,Full-time
263,Ojasvi Shetty,3,4,Full-time
264,Charles Karan,1,4,Visiting
265,Rushil Sarkar,1,5,Full-time
266,Widisha Pandya,2,2,Visiting
267,Aachal Goel,1,2,Full-time
268,Aarna Johal,5,4,Full-time
269,Qarin Sharaf,5,4,Visiting
270,Ekta Gara,4,3,Visiting
271,Bina Balan,3,5,Full-time
272,Ikbal Nadig,5,1,Full-time
273,Yashvi Prashad,6,2,Visiting
274,Wazir Sandal,6,1,Full-time
275,Vrinda Desai,2,2,Full-time
276,Tarak Gulati,2,1,Visiting
277,Aradhana Merchant,4,5,Visiting
278,Gauri Chaudry,3,1,Full-time
279,Keya Narang,3,3,Visiting
280,Vasatika Narayan,1,2,Visiting
281,Ekavir Parmar,6,5,Full-time
282,Jalsa Bobal,4,1,Full-time
283,Omisha Atwal,6,2,Visiting
284,Urvashi Nanda,2,1,Full-time
285,Odika Arora,2,3,Visiting
286,Vihaan Menon,4,1,Visiting
287,Isaac Wali,6,3,Visiting
288,Ladli Kadakia,3,5,Visiting
289,Victor Patla,4,1,Full-time
290,Jacob Bava,4,3,Visiting
291,Daniel Gaba,1,1,Full-time
292,Rishi Subramaniam,6,5,Full-time
293,Gautami Parekh,6,3,Full-time
294,Thomas Warrior,2,4,Visiting
295,Umang Chopra,3,2,Visiting
296,Fariq Thakur,6,4,Full-time
297,Unni Shenoy,4,3,Visiting
298,Indrajit Karnik,3,3,Full-time
299,Gayathri Kapadia,2,3,Visiting
300,Harinakshi Ratti,6,4,Visiting
